State,age,pastMonth,drugType
HI,12+,50.86,Alcohol
HI,17-Dec,12.44,Alcohol
HI,18-25,57.12,Alcohol
HI,26+,54.12,Alcohol
HI,18+,54.52,Alcohol
HI,12+,9.71,Illicit Drugs
HI,17-Dec,11.64,Illicit Drugs
HI,18-25,22.2,Illicit Drugs
HI,26+,7.56,Illicit Drugs
HI,18+,9.53,Illicit Drugs
HI,12+,20.31,Tobacco
HI,17-Dec,8.57,Tobacco
HI,18-25,33.79,Tobacco
HI,26+,19.5,Tobacco
HI,18+,21.43,Tobacco
WEST REGION,12+,9.01,Marijuana
WEST REGION,17-Dec,8.81,Marijuana
WEST REGION,18-25,21.24,Marijuana
WEST REGION,26+,6.83,Marijuana
WEST REGION,18+,9.03,Marijuana
WEST REGION,12+,51.03,Alcohol
WEST REGION,17-Dec,12.8,Alcohol
WEST REGION,18-25,57.94,Alcohol
WEST REGION,26+,54.76,Alcohol
WEST REGION,18+,55.25,Alcohol
WEST REGION,12+,10.93,Illicit Drugs
WEST REGION,17-Dec,11.26,Illicit Drugs
WEST REGION,18-25,23.97,Illicit Drugs
WEST REGION,26+,8.55,Illicit Drugs
WEST REGION,18+,10.9,Illicit Drugs
WEST REGION,12+,22.49,Tobacco
WEST REGION,17-Dec,7.83,Tobacco
WEST REGION,18-25,34.6,Tobacco
WEST REGION,26+,22.23,Tobacco
WEST REGION,18+,24.11,Tobacco
FL,12+,6.65,Marijuana
FL,17-Dec,7.03,Marijuana
FL,18-25,19.02,Marijuana
FL,26+,4.73,Marijuana
FL,18+,6.61,Marijuana
FL,12+,51.88,Alcohol
FL,17-Dec,12.45,Alcohol
FL,18-25,59.41,Alcohol
FL,26+,54.97,Alcohol
FL,18+,55.55,Alcohol
FL,12+,8.32,Illicit Drugs
FL,17-Dec,9.1,Illicit Drugs
FL,18-25,21.25,Illicit Drugs
FL,26+,6.27,Illicit Drugs
FL,18+,8.24,Illicit Drugs
FL,12+,24.59,Tobacco
FL,17-Dec,7.24,Tobacco
FL,18-25,34.87,Tobacco
FL,26+,24.87,Tobacco
FL,18+,26.2,Tobacco
WY,12+,5.68,Marijuana
WY,17-Dec,6,Marijuana
WY,18-25,13.06,Marijuana
WY,26+,4.36,Marijuana
WY,18+,5.65,Marijuana
WY,12+,53.24,Alcohol
WY,17-Dec,14.11,Alcohol
WY,18-25,62.04,Alcohol
WY,26+,56.32,Alcohol
WY,18+,57.17,Alcohol
WY,12+,7.01,Illicit Drugs
WY,17-Dec,8.04,Illicit Drugs
WY,18-25,14.99,Illicit Drugs
WY,26+,5.51,Illicit Drugs
WY,18+,6.91,Illicit Drugs
WY,12+,32.47,Tobacco
WY,17-Dec,13.44,Tobacco
WY,18-25,48.84,Tobacco
WY,26+,31.87,Tobacco
WY,18+,34.38,Tobacco
NH,12+,8.37,Marijuana
NH,17-Dec,9.61,Marijuana
NH,18-25,26.37,Marijuana
NH,26+,5.41,Marijuana
NH,18+,8.25,Marijuana
NH,12+,62.89,Alcohol
NH,17-Dec,14.39,Alcohol
NH,18-25,73.62,Alcohol
NH,26+,66.82,Alcohol
NH,18+,67.74,Alcohol
NH,12+,10.34,Illicit Drugs
NH,17-Dec,11.74,Illicit Drugs
NH,18-25,28.78,Illicit Drugs
NH,26+,7.29,Illicit Drugs
NH,18+,10.2,Illicit Drugs
NH,12+,26.13,Tobacco
NH,17-Dec,10.93,Tobacco
NH,18-25,42.86,Tobacco
NH,26+,25.26,Tobacco
NH,18+,27.65,Tobacco
NJ,12+,6.05,Marijuana
NJ,17-Dec,6.85,Marijuana
NJ,18-25,19.26,Marijuana
NJ,26+,3.96,Marijuana
NJ,18+,5.96,Marijuana
NJ,12+,56.36,Alcohol
NJ,17-Dec,17.47,Alcohol
NJ,18-25,63.4,Alcohol
NJ,26+,60.05,Alcohol
NJ,18+,60.49,Alcohol
NJ,12+,7.99,Illicit Drugs
NJ,17-Dec,9.2,Illicit Drugs
NJ,18-25,22.89,Illicit Drugs
NJ,26+,5.6,Illicit Drugs
NJ,18+,7.86,Illicit Drugs
NJ,12+,23.33,Tobacco
NJ,17-Dec,8.71,Tobacco
NJ,18-25,36.81,Tobacco
NJ,26+,23.08,Tobacco
NJ,18+,24.88,Tobacco
NM,12+,9.14,Marijuana
NM,17-Dec,9.82,Marijuana
NM,18-25,21.35,Marijuana
NM,26+,6.94,Marijuana
NM,18+,9.07,Marijuana
NM,12+,46.89,Alcohol
NM,17-Dec,12.69,Alcohol
NM,18-25,55.7,Alcohol
NM,26+,49.82,Alcohol
NM,18+,50.69,Alcohol
NM,12+,11.28,Illicit Drugs
NM,17-Dec,13.51,Illicit Drugs
NM,18-25,24.45,Illicit Drugs
NM,26+,8.71,Illicit Drugs
NM,18+,11.04,Illicit Drugs
NM,12+,26.07,Tobacco
NM,17-Dec,11.31,Tobacco
NM,18-25,42.98,Tobacco
NM,26+,25.07,Tobacco
NM,18+,27.71,Tobacco
TX,12+,5.11,Marijuana
TX,17-Dec,6.32,Marijuana
TX,18-25,13.76,Marijuana
TX,26+,3.3,Marijuana
TX,18+,4.96,Marijuana
TX,12+,48.19,Alcohol
TX,17-Dec,11.91,Alcohol
TX,18-25,56.57,Alcohol
TX,26+,51.92,Alcohol
TX,18+,52.66,Alcohol
TX,12+,7.05,Illicit Drugs
TX,17-Dec,8.97,Illicit Drugs
TX,18-25,16.91,Illicit Drugs
TX,26+,4.91,Illicit Drugs
TX,18+,6.82,Illicit Drugs
TX,12+,24.44,Tobacco
TX,17-Dec,8.09,Tobacco
TX,18-25,35.72,Tobacco
TX,26+,24.71,Tobacco
TX,18+,26.46,Tobacco
LA,12+,4.62,Marijuana
LA,17-Dec,5.01,Marijuana
LA,18-25,13,Marijuana
LA,26+,3.02,Marijuana
LA,18+,4.57,Marijuana
LA,12+,49.62,Alcohol
LA,17-Dec,13.33,Alcohol
LA,18-25,59.07,Alcohol
LA,26+,52.57,Alcohol
LA,18+,53.58,Alcohol
LA,12+,6.96,Illicit Drugs
LA,17-Dec,7.55,Illicit Drugs
LA,18-25,16.08,Illicit Drugs
LA,26+,5.2,Illicit Drugs
LA,18+,6.9,Illicit Drugs
LA,12+,32.95,Tobacco
LA,17-Dec,9.96,Tobacco
LA,18-25,41.32,Tobacco
LA,26+,34.39,Tobacco
LA,18+,35.47,Tobacco
NC,12+,6.49,Marijuana
NC,17-Dec,7.69,Marijuana
NC,18-25,19.28,Marijuana
NC,26+,4.24,Marijuana
NC,18+,6.37,Marijuana
NC,12+,47.56,Alcohol
NC,17-Dec,12.48,Alcohol
NC,18-25,60.4,Alcohol
NC,26+,49.72,Alcohol
NC,18+,51.23,Alcohol
NC,12+,7.85,Illicit Drugs
NC,17-Dec,9.65,Illicit Drugs
NC,18-25,21.59,Illicit Drugs
NC,26+,5.37,Illicit Drugs
NC,18+,7.66,Illicit Drugs
NC,12+,28.03,Tobacco
NC,17-Dec,9.34,Tobacco
NC,18-25,39.55,Tobacco
NC,26+,28.41,Tobacco
NC,18+,29.99,Tobacco
ND,12+,5.15,Marijuana
ND,17-Dec,6.02,Marijuana
ND,18-25,14.44,Marijuana
ND,26+,3.07,Marijuana
ND,18+,5.07,Marijuana
ND,12+,59.12,Alcohol
ND,17-Dec,12.78,Alcohol
ND,18-25,71.02,Alcohol
ND,26+,61.82,Alcohol
ND,18+,63.43,Alcohol
ND,12+,6.25,Illicit Drugs
ND,17-Dec,6.75,Illicit Drugs
ND,18-25,16.02,Illicit Drugs
ND,26+,4.12,Illicit Drugs
ND,18+,6.2,Illicit Drugs
ND,12+,29.8,Tobacco
ND,17-Dec,11.3,Tobacco
ND,18-25,45.2,Tobacco
ND,26+,28.62,Tobacco
ND,18+,31.52,Tobacco
NE,12+,5.51,Marijuana
NE,17-Dec,6.53,Marijuana
NE,18-25,14.83,Marijuana
NE,26+,3.74,Marijuana
NE,18+,5.4,Marijuana
NE,12+,53.74,Alcohol
NE,17-Dec,11.45,Alcohol
NE,18-25,63.55,Alcohol
NE,26+,57.33,Alcohol
NE,18+,58.26,Alcohol
NE,12+,6.72,Illicit Drugs
NE,17-Dec,8.16,Illicit Drugs
NE,18-25,16.76,Illicit Drugs
NE,26+,4.78,Illicit Drugs
NE,18+,6.57,Illicit Drugs
NE,12+,26.45,Tobacco
NE,17-Dec,9.84,Tobacco
NE,18-25,40.15,Tobacco
NE,26+,26.13,Tobacco
NE,18+,28.22,Tobacco
TN,12+,5.41,Marijuana
TN,17-Dec,5.92,Marijuana
TN,18-25,14.7,Marijuana
TN,26+,3.81,Marijuana
TN,18+,5.35,Marijuana
TN,12+,39.15,Alcohol
TN,17-Dec,10.17,Alcohol
TN,18-25,49.74,Alcohol
TN,26+,40.93,Alcohol
TN,18+,42.18,Alcohol
TN,12+,7.13,Illicit Drugs
TN,17-Dec,8.46,Illicit Drugs
TN,18-25,18.03,Illicit Drugs
TN,26+,5.17,Illicit Drugs
TN,18+,6.99,Illicit Drugs
TN,12+,32.78,Tobacco
TN,17-Dec,11.47,Tobacco
TN,18-25,42.99,Tobacco
TN,26+,33.68,Tobacco
TN,18+,35,Tobacco
NY,12+,8.24,Marijuana
NY,17-Dec,7.86,Marijuana
NY,18-25,21.35,Marijuana
NY,26+,5.98,Marijuana
NY,18+,8.28,Marijuana
NY,12+,55.49,Alcohol
NY,17-Dec,16.56,Alcohol
NY,18-25,65.17,Alcohol
NY,26+,58.29,Alcohol
NY,18+,59.32,Alcohol
NY,12+,9.73,Illicit Drugs
NY,17-Dec,9.37,Illicit Drugs
NY,18-25,23.56,Illicit Drugs
NY,26+,7.34,Illicit Drugs
NY,18+,9.77,Illicit Drugs
NY,12+,24.12,Tobacco
NY,17-Dec,7.95,Tobacco
NY,18-25,35.53,Tobacco
NY,26+,23.98,Tobacco
NY,18+,25.71,Tobacco
PA,12+,6.18,Marijuana
PA,17-Dec,6.87,Marijuana
PA,18-25,17.54,Marijuana
PA,26+,4.2,Marijuana
PA,18+,6.11,Marijuana
PA,12+,55.47,Alcohol
PA,17-Dec,13.45,Alcohol
PA,18-25,64.28,Alcohol
PA,26+,58.82,Alcohol
PA,18+,59.6,Alcohol
PA,12+,8.05,Illicit Drugs
PA,17-Dec,8.89,Illicit Drugs
PA,18-25,19.58,Illicit Drugs
PA,26+,6.02,Illicit Drugs
PA,18+,7.97,Illicit Drugs
PA,12+,30,Tobacco
PA,17-Dec,11.4,Tobacco
PA,18-25,43.23,Tobacco
PA,26+,29.92,Tobacco
PA,18+,31.83,Tobacco
AK,12+,12.97,Marijuana
AK,17-Dec,10.01,Marijuana
AK,18-25,24.77,Marijuana
AK,26+,11.18,Marijuana
AK,18+,13.31,Marijuana
AK,12+,54.46,Alcohol
AK,17-Dec,13.39,Alcohol
AK,18-25,59.47,Alcohol
AK,26+,59.28,Alcohol
AK,18+,59.31,Alcohol
AK,12+,14.03,Illicit Drugs
AK,17-Dec,10.69,Illicit Drugs
AK,18-25,26.52,Illicit Drugs
AK,26+,12.17,Illicit Drugs
AK,18+,14.42,Illicit Drugs
AK,12+,31.53,Tobacco
AK,17-Dec,10.3,Tobacco
AK,18-25,46.56,Tobacco
AK,26+,31.72,Tobacco
AK,18+,34.04,Tobacco
NV,12+,8.36,Marijuana
NV,17-Dec,8.77,Marijuana
NV,18-25,20.01,Marijuana
NV,26+,6.44,Marijuana
NV,18+,8.32,Marijuana
NV,12+,52.82,Alcohol
NV,17-Dec,13.61,Alcohol
NV,18-25,59.47,Alcohol
NV,26+,56.66,Alcohol
NV,18+,57.05,Alcohol
NV,12+,11.07,Illicit Drugs
NV,17-Dec,11.19,Illicit Drugs
NV,18-25,23.14,Illicit Drugs
NV,26+,9.11,Illicit Drugs
NV,18+,11.05,Illicit Drugs
NV,12+,26.99,Tobacco
NV,17-Dec,9.1,Tobacco
NV,18-25,39.6,Tobacco
NV,26+,27.2,Tobacco
NV,18+,28.92,Tobacco
VA,12+,5.54,Marijuana
VA,17-Dec,6.61,Marijuana
VA,18-25,17.06,Marijuana
VA,26+,3.44,Marijuana
VA,18+,5.43,Marijuana
VA,12+,55.13,Alcohol
VA,17-Dec,12.15,Alcohol
VA,18-25,63.5,Alcohol
VA,26+,58.84,Alcohol
VA,18+,59.52,Alcohol
VA,12+,7.46,Illicit Drugs
VA,17-Dec,8.52,Illicit Drugs
VA,18-25,20.22,Illicit Drugs
VA,26+,5.15,Illicit Drugs
VA,18+,7.35,Illicit Drugs
VA,12+,25.18,Tobacco
VA,17-Dec,8.68,Tobacco
VA,18-25,38.05,Tobacco
VA,26+,24.96,Tobacco
VA,18+,26.87,Tobacco
CO,12+,10.41,Marijuana
CO,17-Dec,10.47,Marijuana
CO,18-25,26.81,Marijuana
CO,26+,7.63,Marijuana
CO,18+,10.4,Marijuana
CO,12+,59.2,Alcohol
CO,17-Dec,13.4,Alcohol
CO,18-25,68.08,Alcohol
CO,26+,63.22,Alcohol
CO,18+,63.92,Alcohol
CO,12+,12.24,Illicit Drugs
CO,17-Dec,13.17,Illicit Drugs
CO,18-25,29.75,Illicit Drugs
CO,26+,9.18,Illicit Drugs
CO,18+,12.15,Illicit Drugs
CO,12+,28.5,Tobacco
CO,17-Dec,10.63,Tobacco
CO,18-25,43.1,Tobacco
CO,26+,28.19,Tobacco
CO,18+,30.34,Tobacco
CA,12+,9.08,Marijuana
CA,17-Dec,8.83,Marijuana
CA,18-25,21.74,Marijuana
CA,26+,6.74,Marijuana
CA,18+,9.11,Marijuana
CA,12+,49.6,Alcohol
CA,17-Dec,13.08,Alcohol
CA,18-25,57.76,Alcohol
CA,26+,52.96,Alcohol
CA,18+,53.71,Alcohol
CA,12+,11,Illicit Drugs
CA,17-Dec,11.18,Illicit Drugs
CA,18-25,24.35,Illicit Drugs
CA,26+,8.48,Illicit Drugs
CA,18+,10.98,Illicit Drugs
CA,12+,19.4,Tobacco
CA,17-Dec,6.56,Tobacco
CA,18-25,31.1,Tobacco
CA,26+,18.93,Tobacco
CA,18+,20.85,Tobacco
AL,12+,5.07,Marijuana
AL,17-Dec,5.62,Marijuana
AL,18-25,14.34,Marijuana
AL,26+,3.38,Marijuana
AL,18+,5.02,Marijuana
AL,12+,43.21,Alcohol
AL,17-Dec,11.36,Alcohol
AL,18-25,52.65,Alcohol
AL,26+,45.56,Alcohol
AL,18+,46.61,Alcohol
AL,12+,7.72,Illicit Drugs
AL,17-Dec,8.99,Illicit Drugs
AL,18-25,17.51,Illicit Drugs
AL,26+,5.85,Illicit Drugs
AL,18+,7.58,Illicit Drugs
AL,12+,32.2,Tobacco
AL,17-Dec,10.77,Tobacco
AL,18-25,43.71,Tobacco
AL,26+,32.87,Tobacco
AL,18+,34.49,Tobacco
UNITED STATES,12+,7.13,Marijuana
UNITED STATES,17-Dec,7.55,Marijuana
UNITED STATES,18-25,18.89,Marijuana
UNITED STATES,26+,5.05,Marijuana
UNITED STATES,18+,7.09,Marijuana
UNITED STATES,12+,51.94,Alcohol
UNITED STATES,17-Dec,13.11,Alcohol
UNITED STATES,18-25,60.45,Alcohol
UNITED STATES,26+,55.33,Alcohol
UNITED STATES,18+,56.09,Alcohol
UNITED STATES,12+,8.95,Illicit Drugs
UNITED STATES,17-Dec,9.82,Illicit Drugs
UNITED STATES,18-25,21.39,Illicit Drugs
UNITED STATES,26+,6.69,Illicit Drugs
UNITED STATES,18+,8.85,Illicit Drugs
UNITED STATES,12+,26.6,Tobacco
UNITED STATES,17-Dec,9.3,Tobacco
UNITED STATES,18-25,38.75,Tobacco
UNITED STATES,26+,26.67,Tobacco
UNITED STATES,18+,28.45,Tobacco
AR,12+,5.3,Marijuana
AR,17-Dec,6.01,Marijuana
AR,18-25,14.71,Marijuana
AR,26+,3.61,Marijuana
AR,18+,5.22,Marijuana
AR,12+,40.35,Alcohol
AR,17-Dec,12.25,Alcohol
AR,18-25,50.71,Alcohol
AR,26+,42.14,Alcohol
AR,18+,43.39,Alcohol
AR,12+,7.55,Illicit Drugs
AR,17-Dec,9.18,Illicit Drugs
AR,18-25,17.56,Illicit Drugs
AR,26+,5.64,Illicit Drugs
AR,18+,7.37,Illicit Drugs
AR,12+,31.62,Tobacco
AR,17-Dec,11.68,Tobacco
AR,18-25,42.67,Tobacco
AR,26+,32.25,Tobacco
AR,18+,33.77,Tobacco
VT,12+,12.86,Marijuana
VT,17-Dec,13.36,Marijuana
VT,18-25,33.18,Marijuana
VT,26+,9.34,Marijuana
VT,18+,12.82,Marijuana
VT,12+,58.57,Alcohol
VT,17-Dec,17.25,Alcohol
VT,18-25,71.15,Alcohol
VT,26+,60.89,Alcohol
VT,18+,62.39,Alcohol
VT,12+,14.14,Illicit Drugs
VT,17-Dec,15.46,Illicit Drugs
VT,18-25,33.32,Illicit Drugs
VT,26+,10.72,Illicit Drugs
VT,18+,14.02,Illicit Drugs
VT,12+,28.39,Tobacco
VT,17-Dec,13.45,Tobacco
VT,18-25,47.56,Tobacco
VT,26+,26.73,Tobacco
VT,18+,29.77,Tobacco
IL,12+,7.03,Marijuana
IL,17-Dec,6.94,Marijuana
IL,18-25,20.27,Marijuana
IL,26+,4.79,Marijuana
IL,18+,7.04,Marijuana
IL,12+,55.4,Alcohol
IL,17-Dec,13.14,Alcohol
IL,18-25,64.08,Alcohol
IL,26+,59.37,Alcohol
IL,18+,60.05,Alcohol
IL,12+,8.73,Illicit Drugs
IL,17-Dec,8.73,Illicit Drugs
IL,18-25,22.33,Illicit Drugs
IL,26+,6.42,Illicit Drugs
IL,18+,8.73,Illicit Drugs
IL,12+,26.4,Tobacco
IL,17-Dec,8.46,Tobacco
IL,18-25,39.94,Tobacco
IL,26+,26.41,Tobacco
IL,18+,28.37,Tobacco
GA,12+,5.96,Marijuana
GA,17-Dec,7.2,Marijuana
GA,18-25,16.65,Marijuana
GA,26+,3.88,Marijuana
GA,18+,5.82,Marijuana
GA,12+,46.71,Alcohol
GA,17-Dec,10.87,Alcohol
GA,18-25,52.73,Alcohol
GA,26+,50.5,Alcohol
GA,18+,50.84,Alcohol
GA,12+,7.43,Illicit Drugs
GA,17-Dec,9.66,Illicit Drugs
GA,18-25,18.52,Illicit Drugs
GA,26+,5.14,Illicit Drugs
GA,18+,7.17,Illicit Drugs
GA,12+,26.53,Tobacco
GA,17-Dec,10.27,Tobacco
GA,18-25,36.28,Tobacco
GA,26+,27,Tobacco
GA,18+,28.41,Tobacco
IN,12+,6.2,Marijuana
IN,17-Dec,6.25,Marijuana
IN,18-25,16.78,Marijuana
IN,26+,4.31,Marijuana
IN,18+,6.19,Marijuana
IN,12+,51.17,Alcohol
IN,17-Dec,11.28,Alcohol
IN,18-25,61.82,Alcohol
IN,26+,54.53,Alcohol
IN,18+,55.63,Alcohol
IN,12+,8.5,Illicit Drugs
IN,17-Dec,8.9,Illicit Drugs
IN,18-25,20.46,Illicit Drugs
IN,26+,6.32,Illicit Drugs
IN,18+,8.45,Illicit Drugs
IN,12+,32.86,Tobacco
IN,17-Dec,10.93,Tobacco
IN,18-25,44.66,Tobacco
IN,26+,33.65,Tobacco
IN,18+,35.31,Tobacco
IA,12+,6.1,Marijuana
IA,17-Dec,6.65,Marijuana
IA,18-25,16.84,Marijuana
IA,26+,4.13,Marijuana
IA,18+,6.04,Marijuana
IA,12+,56.46,Alcohol
IA,17-Dec,14.59,Alcohol
IA,18-25,67.11,Alcohol
IA,26+,59.74,Alcohol
IA,18+,60.85,Alcohol
IA,12+,7.45,Illicit Drugs
IA,17-Dec,8.53,Illicit Drugs
IA,18-25,18.95,Illicit Drugs
IA,26+,5.28,Illicit Drugs
IA,18+,7.34,Illicit Drugs
IA,12+,26.69,Tobacco
IA,17-Dec,10.57,Tobacco
IA,18-25,42.53,Tobacco
IA,26+,25.88,Tobacco
IA,18+,28.38,Tobacco
MA,12+,9.37,Marijuana
MA,17-Dec,10.58,Marijuana
MA,18-25,25.77,Marijuana
MA,26+,6.34,Marijuana
MA,18+,9.25,Marijuana
MA,12+,63.54,Alcohol
MA,17-Dec,15.59,Alcohol
MA,18-25,69.28,Alcohol
MA,26+,67.96,Alcohol
MA,18+,68.16,Alcohol
MA,12+,10.94,Illicit Drugs
MA,17-Dec,12.29,Illicit Drugs
MA,18-25,27.24,Illicit Drugs
MA,26+,7.91,Illicit Drugs
MA,18+,10.8,Illicit Drugs
MA,12+,23.81,Tobacco
MA,17-Dec,10.92,Tobacco
MA,18-25,34.22,Tobacco
MA,26+,23.43,Tobacco
MA,18+,25.05,Tobacco
AZ,12+,7.22,Marijuana
AZ,17-Dec,8.37,Marijuana
AZ,18-25,17.2,Marijuana
AZ,26+,5.33,Marijuana
AZ,18+,7.09,Marijuana
AZ,12+,50.85,Alcohol
AZ,17-Dec,13.07,Alcohol
AZ,18-25,57.05,Alcohol
AZ,26+,54.75,Alcohol
AZ,18+,55.09,Alcohol
AZ,12+,9.57,Illicit Drugs
AZ,17-Dec,11.44,Illicit Drugs
AZ,18-25,20.67,Illicit Drugs
AZ,26+,7.39,Illicit Drugs
AZ,18+,9.36,Illicit Drugs
AZ,12+,25.99,Tobacco
AZ,17-Dec,7.93,Tobacco
AZ,18-25,37.36,Tobacco
AZ,26+,26.39,Tobacco
AZ,18+,28.01,Tobacco
ID,12+,5.29,Marijuana
ID,17-Dec,6.21,Marijuana
ID,18-25,13.09,Marijuana
ID,26+,3.77,Marijuana
ID,18+,5.18,Marijuana
ID,12+,48.97,Alcohol
ID,17-Dec,11.31,Alcohol
ID,18-25,47.76,Alcohol
ID,26+,54.56,Alcohol
ID,18+,53.53,Alcohol
